City,Latitude,Longitude
New York,40.6643,-73.9385
Los Angeles,34.0194,-118.4108
Chicago,41.8376,-87.6818
Houston,29.7805,-95.3863
Philadelphia,40.0094,-75.1333
Phoenix,33.5722,-112.0880
San Antonio,29.4724,-98.5251
San Diego,32.8153,-117.1350
Dallas,32.7757,-96.7967
San Jose,37.2969,-121.8193
Austin,30.3072,-97.7560
Jacksonville,30.3370,-81.6613
San Francisco,37.7751,-122.4193
Indianapolis,39.7767,-86.1459
Columbus,39.9848,-82.9850
Fort Worth,32.7795,-97.3463
Charlotte,35.2087,-80.8307
Seattle,47.6205,-122.3509
Denver,39.7618,-104.8806
El Paso,31.8484,-106.4270
Detroit,42.3830,-83.1022
Washington,38.9041,-77.0171
Boston,42.3320,-71.0202
Memphis,35.1035,-89.9785
Nashville,36.1718,-86.7850
Portland,45.5370,-122.6500
Oklahoma City,35.4671,-97.5137
Las Vegas,36.2277,-115.2640
Baltimore,39.3002,-76.6105
Louisville,38.1781,-85.6667
Milwaukee,43.0633,-87.9667
Albuquerque,35.1056,-106.6474
Tucson,32.1543,-110.8711
Fresno,36.7827,-119.7945
Sacramento,38.5666,-121.4686
Kansas City,39.1252,-94.5511
Long Beach,33.8091,-118.1553
Mesa,33.4019,-111.7174
Atlanta,33.7629,-84.4227
Colorado Springs,38.8673,-104.7607
Virginia Beach,36.7793,-76.0240
Raleigh,35.8302,-78.6414
Omaha,41.2647,-96.0419
Miami,25.7752,-80.2086
Oakland,37.7699,-122.2256
Minneapolis,44.9633,-93.2683
Tulsa,36.1279,-95.9023
Wichita,37.6907,-97.3427
New Orleans,30.0686,-89.9390
Arlington,32.7007,-97.1247
Cleveland,41.4781,-81.6795
Bakersfield,35.3212,-119.0183
Tampa,27.9701,-82.4797
Aurora,39.7082,-104.8235
Honolulu,21.3259,-157.8453
Anaheim,33.8555,-117.7601
Santa Ana,33.7365,-117.8826
Corpus Christi,27.7543,-97.1734
Riverside,33.9381,-117.3932
St. Louis,38.6357,-90.2446
Lexington,38.0402,-84.4584
Stockton,37.9763,-121.3133
Pittsburgh,40.4398,-79.9766
Saint Paul,44.9489,-93.1039
Anchorage,61.2176,-149.8953
Cincinnati,39.1399,-84.5064
Henderson,36.0122,-115.0375
Greensboro,36.0965,-79.8271
Plano,33.0508,-96.7479
Newark,40.7242,-74.1726
Toledo,41.6641,-83.5819
Lincoln,40.8090,-96.6804
Orlando,28.4159,-81.2988
Chula Vista,32.6277,-117.0152
Jersey City,40.7114,-74.0648
Chandler,33.2829,-111.8549
Fort Wayne,41.0882,-85.1439
Buffalo,42.8925,-78.8597
Durham,35.9810,-78.9056
St. Petersburg,27.7620,-82.6441
Irvine,33.6784,-117.7713
Laredo,27.5477,-99.4869
Lubbock,33.5665,-101.8867
Madison,43.0878,-89.4301
Gilbert,33.3102,-111.7422
Norfolk,36.9230,-76.2446
Reno,39.4745,-119.7765
Winstonâ€“Salem,36.1033,-80.2606
Glendale,33.5331,-112.1899
Hialeah,25.8699,-80.3029
Garland,32.9098,-96.6304
Scottsdale,33.6687,-111.8237
Irving,32.8577,-96.9700
Chesapeake,36.6794,-76.3018
North Las Vegas,36.2830,-115.0893
Fremont,37.4944,-121.9411
Baton Rouge,30.4485,-91.1259
Richmond,37.5314,-77.4760
Boise,43.5985,-116.2311
San Bernardino,34.1393,-117.2953
